age,gender,workplace,population,workspace,dental_care_cabinets_number,activity_area,how_emergency_treatments,is_number_emergency_increase,how_solved,emergencies_per_week,patients_age_group,week_presential_patients,auxiliary_personnel,reasons_of_contact_1,reasons_of_contact_2,reasons_of_contact_3,top_emergency_type_1,top_emergency_type_2,top_emergency_type_3,patient_symptoms_1,patient_symptoms_2,patient_symptoms_3,patient_symptoms_4,patient_symptoms_5,patient_instructions_before_appointment_1,patient_instructions_before_appointment_2,patient_instructions_before_appointment_3,patient_instructions_before_appointment_4,patient_instructions_before_appointment_5,preventive_procedure_before_waiting_room_1,preventive_procedure_before_waiting_room_2,preventive_procedure_before_waiting_room_3,preventive_procedure_before_waiting_room_4,preventive_procedure_before_waiting_room_5,cross_contamination_cabinet_prevention_1,cross_contamination_cabinet_prevention_2,cross_contamination_cabinet_prevention_3,cross_contamination_cabinet_prevention_4,cross_contamination_cabinet_prevention_5,cross_contamination_cabinet_prevention_6,cross_contamination_cabinet_prevention_7,patient_cabinet_prevention_measures_1,patient_cabinet_prevention_measures_2,patient_cabinet_prevention_measures_3,patient_cabinet_prevention_measures_4,patient_cabinet_prevention_measures_5,patient_cabinet_prevention_measures_6,PPE_1,PPE_2,PPE_3,PPE_4,PPE_5,PPE_6,PPE_7
40-49 años,Mujer,Comunidad de Madrid,Más de 100.000 habitantes (urbana),Práctica clínica privada por cuenta propia,Entre 3 y 5,Odontología general,He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario,"No, se han reducido desde el estado de alarma",Atención presencial del paciente en la consulta,Entre 5 y 10,De 30 a 60 años,Entre 5 y 10,"Sí, pero no durante todo el tiempo",Pérdida o fractura de una restauración (incluye descementado de restauraciones protésicas),,,Cualquier otra situación de emergencia que a su criterio después del triaje telefónico ha estimado que fuera inaplazable,,,"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).",,,,,Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes,"No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante",Acudir con mascarilla,,,Se pide al paciente que se lave las manos con gel hidroalcohólico,,,,,Protección de las superficies de contacto con fundas plásticas desechables,Evitar uso de rotatorios de alta velocidad que generan aerosoles,,,,,,"Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos",,,,,,Mascarillas FFP2/FFP3,Pantalla facial,Guantes de nitrilo,Gorros desechables,,,
50-59 años,Hombre,Comunidad de Madrid,Más de 100.000 habitantes (urbana),Práctica clínica privada por cuenta propia,Entre 3 y 5,"Cirugía, Implantes y Periodoncia",He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario,"No, se han reducido desde el estado de alarma","Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos",Menos de 5,De 30 a 60 años,Menos de 5,"Sí, pero no durante todo el tiempo",Dolor,,,Presencia de dolor dentario severo que no cede con medicación habitual,,,"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).","Ha presentado o presenta dolor de garganta, congestión nasal, fatiga, dolor de cabeza, mialgia, ageusia o anosmia, diarrea o problemas gastrointestinales.",Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados,"Su trabajo implica un mayor riesgo de contagio por coronavirus (trabajo en residencia de mayores, hospital, transporte público, cadena de alimentación, ...)",,Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes,"No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante",Acudir con mascarilla,Debe mantener una distancia de seguridad con cualquier persona dentro de la clínica,,En recepción se registra la temperatura del paciente con un termómetro infrarrojo,Se pide al paciente que se lave las manos con gel hidroalcohólico,Se le entrega una mascarilla quirúrgica y se le pasa a la sala de espera,,,Aspiración quirúrgica doble,Renovación del aire del gabinete tras la consulta,Protección de las superficies de contacto con fundas plásticas desechables,Evitar uso de rotatorios de alta velocidad que generan aerosoles,Sistemas de aspiración de aerosoles y purificación del aire,,,Volver a pedir al paciente que se desinfecte las manos con gel hidroalcohólico antes de sentarse en el sillón (si ha estado en la sala de espera) y que no toque nada,"Colocar al paciente, antes de sentarse en el sillón dental, babero, delantal de plástico o paño quirúrgico impermeable","Colocar al paciente, antes de sentarse en el sillón dental, calzas o cubrezapatos",Colocar al paciente gafas de protección,"Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos",,Mascarillas FFP2/FFP3,Pantalla facial,Guantes de nitrilo,Gorros desechables,,,
30-39 años,Mujer,Comunidad de Madrid,Más de 100.000 habitantes (urbana),Práctica clínica privada por cuenta ajena,Más de 10,Odontología Conservadora y Prótesis,He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario,"No, se han reducido desde el estado de alarma","Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos",Menos de 5,No domina un grupo de edad sobre los otros,No he tratado urgencias presencialmente,,Dolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-49 años,Mujer,Comunidad de Madrid,Entre 20.000-100.000 habitantes (semi-urbana),Práctica clínica privada por cuenta propia,Uno o dos gabinetes,Odontología general,He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario,"No, se han reducido desde el estado de alarma","Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos",Más de 10,De 30 a 60 años,Menos de 5,"No, en el gabinete trabajo solo/a",Dolor,Problemas relacionados con tratamientos de ortodoncia,,Presencia de dolor dentario severo que no cede con medicación habitual,,,"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).","Ha presentado o presenta dolor de garganta, congestión nasal, fatiga, dolor de cabeza, mialgia, ageusia o anosmia, diarrea o problemas gastrointestinales.",Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados,"Su trabajo implica un mayor riesgo de contagio por coronavirus (trabajo en residencia de mayores, hospital, transporte público, cadena de alimentación, ...)",,Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes,"No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante",Acudir con mascarilla,Debe mantener una distancia de seguridad con cualquier persona dentro de la clínica,,Se pide al paciente que se lave las manos con gel hidroalcohólico,Se le entrega una mascarilla quirúrgica y se le pasa directo al gabinete,,,,Evitar uso de rotatorios de alta velocidad que generan aerosoles,Ha seguido empleando los habituales protocolos de desinfección de la consulta,,,,,,Volver a pedir al paciente que se desinfecte las manos con gel hidroalcohólico antes de sentarse en el sillón (si ha estado en la sala de espera) y que no toque nada,"Colocar al paciente, antes de sentarse en el sillón dental, babero, delantal de plástico o paño quirúrgico impermeable",Colocar al paciente gafas de protección,,,,Mascarillas FFP2/FFP3,Batas impermeables,Gafas de protección estancas,Pantalla facial,Cubrecalzado,Guantes de nitrilo,Gorros desechables
40-49 años,Mujer,Comunidad de Madrid,Entre 20.000-100.000 habitantes (semi-urbana),Práctica clínica privada por cuenta propia,Uno o dos gabinetes,Odontología Conservadora y Prótesis,He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario,"No, se han reducido desde el estado de alarma","Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos",Entre 5 y 10,De 30 a 60 años,Menos de 5,"No, en el gabinete trabajo solo/a",Dolor,Pérdida o fractura de una restauración (incluye descementado de restauraciones protésicas),,Empastes rotos con dolor ,,,"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).","Ha presentado o presenta dolor de garganta, congestión nasal, fatiga, dolor de cabeza, mialgia, ageusia o anosmia, diarrea o problemas gastrointestinales.",Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados,,,Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes,"No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante",Acudir con mascarilla,Sin pendientes pulseras relojes,,En recepción se registra la temperatura del paciente con un termómetro infrarrojo,Se pide al paciente que se lave las manos con gel hidroalcohólico,Se le entrega una mascarilla quirúrgica y se le pasa directo al gabinete,,,Protección de las superficies de contacto con fundas plásticas desechables,Evitar uso de rotatorios de alta velocidad que generan aerosoles,Aún tengo dudas con respecto a este punto. Espero confirmación por parte del consejo ,,,,,Volver a pedir al paciente que se desinfecte las manos con gel hidroalcohólico antes de sentarse en el sillón (si ha estado en la sala de espera) y que no toque nada,"Colocar al paciente, antes de sentarse en el sillón dental, calzas o cubrezapatos","Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos",,,,Mascarillas FFP2/FFP3,Batas impermeables,Pantalla facial,,,,
40-49 años,Mujer,Comunidad de Madrid,Más de 100.000 habitantes (urbana),Práctica clínica privada por cuenta propia,Uno o dos gabinetes,Odontología general,He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario,"No, se han reducido desde el estado de alarma",Telefónicamente,Menos de 5,De 30 a 60 años,Menos de 5,"Sí, pero no durante todo el tiempo",Dolor,Pérdida o fractura de una restauración (incluye descementado de restauraciones protésicas),Problemas relacionados en la prótesis,PROTESIS ,,,"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).",Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados,"Su trabajo implica un mayor riesgo de contagio por coronavirus (trabajo en residencia de mayores, hospital, transporte público, cadena de alimentación, ...)",,,Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes,"No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante",,,,Se pide al paciente que se lave las manos con gel hidroalcohólico,,,,,Aspiración quirúrgica doble,Protección de las superficies de contacto con fundas plásticas desechables,Ha seguido empleando los habituales protocolos de desinfección de la consulta,,,,,Colocar al paciente gafas de protección,"Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos",,,,,Mascarillas FFP2/FFP3,Gafas de protección estancas,Pantalla facial,Gorros desechables,,,
40-49 años,Hombre,Canarias,Entre 20.000-100.000 habitantes (semi-urbana),Práctica clínica privada por cuenta propia,Entre 3 y 5,Odontología general,He estado en la clínica trabajando en mi horario habitual sólo atendiendo urgencias,"No, igual que antes del estado de alarma",Atención presencial del paciente en la consulta,Entre 5 y 10,De 15 a 30 años,Más de 10,"Sí, siempre trabajo a 4 manos",Dolor,,,Presencia de dolor dentario severo que no cede con medicación habitual,,,"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).","Ha presentado o presenta dolor de garganta, congestión nasal, fatiga, dolor de cabeza, mialgia, ageusia o anosmia, diarrea o problemas gastrointestinales.",Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados,,,Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes,"No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante",Acudir con mascarilla,Debe mantener una distancia de seguridad con cualquier persona dentro de la clínica,,En recepción se registra la temperatura del paciente con un termómetro infrarrojo,Se pide al paciente que se lave las manos con gel hidroalcohólico,Se le entrega una mascarilla quirúrgica y se le pasa a la sala de espera,Se le entrega tambien calzas y gorro quirúrgico y guantes,,Generador de ácido hipocloroso para la desinfección de batas y superficies inertes,Protección de las superficies de contacto con fundas plásticas desechables,Evitar uso de rotatorios de alta velocidad que generan aerosoles,Espera de al menos una hora para el mismo gabinete entre paciente y paciente,,,,"Colocar al paciente, antes de sentarse en el sillón dental, babero, delantal de plástico o paño quirúrgico impermeable","Colocar al paciente, antes de sentarse en el sillón dental, calzas o cubrezapatos",Colocar al paciente gafas de protección,"Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos",,,Mascarillas FFP2/FFP3,Batas impermeables,Gafas de protección estancas,Pantalla facial,Cubrecalzado,Guantes de nitrilo,Gorros desechables
40-49 años,Mujer,Comunidad de Madrid,Entre 20.000-100.000 habitantes (semi-urbana),Práctica clínica privada por cuenta ajena,Entre 3 y 5,Odontología general,He podido solucionar todas las urgencias telefónicamente,"No, se han reducido desde el estado de alarma","Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos",Menos de 5,De 30 a 60 años,No he tratado urgencias presencialmente,,Dolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-49 años,Hombre,Andalucía,Entre 20.000-100.000 habitantes (semi-urbana),Práctica clínica privada por cuenta propia,Entre 3 y 5,Odontología general,He podido solucionar todas las urgencias telefónicamente,"No, se han reducido desde el estado de alarma","Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos",Menos de 5,No domina un grupo de edad sobre los otros,No he tratado urgencias presencialmente,,Dolor,Problemas relacionados en la prótesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-49 años,Mujer,País Vasco,Entre 20.000-100.000 habitantes (semi-urbana),Práctica clínica privada por cuenta propia,Uno o dos gabinetes,Odontología general,He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario,"No, se han reducido desde el estado de alarma","Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos",Entre 5 y 10,De 30 a 60 años,Menos de 5,"Sí, siempre trabajo a 4 manos",Dolor,Pérdida o fractura de una restauración (incluye descementado de restauraciones protésicas),Problemas relacionados con tratamientos de ortodoncia,Presencia de dolor dentario severo que no cede con medicación habitual,,,"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).","Ha presentado o presenta dolor de garganta, congestión nasal, fatiga, dolor de cabeza, mialgia, ageusia o anosmia, diarrea o problemas gastrointestinales.",Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados,,,Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes,"No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante",Acudir con mascarilla,Debe mantener una distancia de seguridad con cualquier persona dentro de la clínica,,En recepción se registra la temperatura del paciente con un termómetro infrarrojo,Se pide al paciente que se lave las manos con gel hidroalcohólico,Se le entrega una mascarilla quirúrgica y se le pasa directo al gabinete,,,Aspiración quirúrgica doble,Renovación del aire del gabinete tras la consulta,Protección de las superficies de contacto con fundas plásticas desechables,Evitar uso de rotatorios de alta velocidad que generan aerosoles,Sistemas de aspiración de aerosoles y purificación del aire,,,Volver a pedir al paciente que se desinfecte las manos con gel hidroalcohólico antes de sentarse en el sillón (si ha estado en la sala de espera) y que no toque nada,"Colocar al paciente, antes de sentarse en el sillón dental, babero, delantal de plástico o paño quirúrgico impermeable","Colocar al paciente, antes de sentarse en el sillón dental, calzas o cubrezapatos",Colocar al paciente gafas de protección,"Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos",,Mascarillas FFP2/FFP3,Batas impermeables,Pantalla facial,Cubrecalzado,Guantes de nitrilo,Gorros desechables,
30-39 años,Hombre,Comunidad de Madrid,Más de 100.000 habitantes (urbana),Práctica clínica privada por cuenta ajena,Más de 5 pero menos de 10,"Cirugía, Implantes y Periodoncia",He podido solucionar todas las urgencias telefónicamente,"Sí, más que antes del estado de alarma",Telefónicamente,Entre 5 y 10,De 30 a 60 años,No he tratado urgencias presencialmente,,Dolor,Problemas relacionados con tratamientos de ortodoncia,Problemas relacionados en la prótesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-49 años,Hombre,Andalucía,Más de 100.000 habitantes (urbana),Práctica clínica privada por cuenta propia,Entre 3 y 5,Odontología general,He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario,"No, se han reducido desde el estado de alarma","Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos",Más de 10,De 30 a 60 años,Entre 5 y 10,"Sí, siempre trabajo a 4 manos",Dolor,Pérdida o fractura de una restauración (incluye descementado de restauraciones protésicas),Problemas relacionados con tratamientos de ortodoncia,Presencia de dolor dentario severo que no cede con medicación habitual,,,"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).",Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados,"Su trabajo implica un mayor riesgo de contagio por coronavirus (trabajo en residencia de mayores, hospital, transporte público, cadena de alimentación, ...)",,,Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes,"No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante",Acudir con mascarilla,Debe mantener una distancia de seguridad con cualquier persona dentro de la clínica,,Se pide al paciente que se lave las manos con gel hidroalcohólico,Se le entrega una mascarilla quirúrgica y se le pasa a la sala de espera,,,,Ha seguido empleando los habituales protocolos de desinfección de la consulta,,,,,,,"Colocar al paciente, antes de sentarse en el sillón dental, babero, delantal de plástico o paño quirúrgico impermeable",,,,,,Mascarillas FFP2/FFP3,Pantalla facial,Guantes de nitrilo,Gorros desechables,,,
30-39 años,Hombre,Comunidad de Madrid,Más de 100.000 habitantes (urbana),Práctica clínica privada por cuenta propia,Uno o dos gabinetes,Odontología Conservadora y Prótesis,He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario,"No, igual que antes del estado de alarma","Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos",Menos de 5,De 30 a 60 años,Menos de 5,"No, en el gabinete trabajo solo/a",Dolor,Pérdida o fractura de una restauración (incluye descementado de restauraciones protésicas),,Presencia de dolor dentario severo que no cede con medicación habitual,,,"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).","Ha presentado o presenta dolor de garganta, congestión nasal, fatiga, dolor de cabeza, mialgia, ageusia o anosmia, diarrea o problemas gastrointestinales.",Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados,"Su trabajo implica un mayor riesgo de contagio por coronavirus (trabajo en residencia de mayores, hospital, transporte público, cadena de alimentación, ...)",,Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes,"No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante",Acudir con mascarilla,Debe mantener una distancia de seguridad con cualquier persona dentro de la clínica,,Se pide al paciente que se lave las manos con gel hidroalcohólico,,,,,Evitar uso de rotatorios de alta velocidad que generan aerosoles,Ha seguido empleando los habituales protocolos de desinfección de la consulta,,,,,,Volver a pedir al paciente que se desinfecte las manos con gel hidroalcohólico antes de sentarse en el sillón (si ha estado en la sala de espera) y que no toque nada,Colocar al paciente gafas de protección,"Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos",,,,Mascarillas FFP2/FFP3,Gafas de protección estancas,Guantes de nitrilo,,,,
40-49 años,Mujer,Andalucía,Más de 100.000 habitantes (urbana),Práctica clínica privada por cuenta propia,Entre 3 y 5,Ortodoncia,He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario,"No, se han reducido desde el estado de alarma","Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos",Entre 5 y 10,No domina un grupo de edad sobre los otros,Menos de 5,"No, en el gabinete trabajo solo/a",Dolor,Pérdida o fractura de una restauración (incluye descementado de restauraciones protésicas),Problemas relacionados con tratamientos de ortodoncia,Presencia de dolor dentario severo que no cede con medicación habitual,,,"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).",Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados,,,,Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes,"No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante",Acudir con mascarilla,,,En recepción se registra la temperatura del paciente con un termómetro infrarrojo,Se pide al paciente que se lave las manos con gel hidroalcohólico,Se le entrega una mascarilla quirúrgica y se le pasa directo al gabinete,,,Generador de ácido hipocloroso para la desinfección de batas y superficies inertes,Protección de las superficies de contacto con fundas plásticas desechables,Desinfección con ozono,Ha seguido empleando los habituales protocolos de desinfección de la consulta,,,,Volver a pedir al paciente que se desinfecte las manos con gel hidroalcohólico antes de sentarse en el sillón (si ha estado en la sala de espera) y que no toque nada,"Colocar al paciente, antes de sentarse en el sillón dental, babero, delantal de plástico o paño quirúrgico impermeable","Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos",,,,Pantalla facial,Guantes de nitrilo,Gorros desechables,,,,
